osoba,rola,zgadywanie,ile_filmow
Klemens Koscher,zdjęcia,brak,1
Kornel Kowalski,muzyka,brak,1
Korosh Bozorgpour scenografia Iraj Raminfar charakteryzacja Parmis Zand,muzyka,brak,1
Kristiane Church,zdjęcia,brak,1
Kristján Loðmfjörð,montaż,brak,1
Kristóf Kelemen,muzyka,brak,1
Kyrre Kvam kostiumy Monika Buttinger scenografia Martin Reiter charakteryzacja Sam Dopona,muzyka,brak,1
Károly Bari,scenariusz,brak,1
Károly Frenreisz,muzyka,brak,1
Károly Szalai,montaż,brak,1
Laetitia Masson,scenariusz,chyba K (imię na -a),1
Laia Torrents Carulla (Cabonsanroque),muzyka,chyba K (imię na -a),1
Lance Edmands,montaż,brak,1
Lance Hammer,scenariusz,brak,1
Lance Hammer,montaż,brak,1
Laurențiu Răducanu,zdjęcia,brak,1
Laurynas Bareiša kostiumy Morta Jonynaite scenografia Lisanne Fransen,montaż,brak,1
Lech Janerka,muzyka,brak,1
Lee Chatametikool,montaż,brak,1
Lee Norris,muzyka,brak,1
Leif Randt,scenariusz,brak,1
Leo Bittencourt,zdjęcia,brak,1
Leo Zhang,zdjęcia,brak,1
Levan Uchaneishvili,montaż,brak,1
Levente Szörényi,muzyka,brak,1
Levente Szörényi kostiumy Géza Hiling scenografia Tilda Gáti charakteryzacja Adrienne Király,muzyka,brak,1
Levente Szörényi kostiumy Piroska Katona scenografia Tamás Banovich charakteryzacja György Ivanicza,muzyka,brak,1
Lhithxamop Itgop,scenariusz,brak,1
Lhithxamop Itsi,scenariusz,brak,1
Liberman Arango,zdjęcia,brak,1
Licia Eminenti,scenariusz,chyba K (imię na -a),1
Lisandro Alonso,scenariusz,brak,1
Loli Moriconi,montaż,brak,1
Lubomir Grzelak,muzyka,brak,1
Lubor Dohnal,scenariusz,brak,1
Lucas A. Vignale,scenariusz,brak,1
Lucas A. Vignale,montaż,brak,1
Lucas Harari,scenariusz,brak,1
Lucjan Kaszycki,muzyka,brak,1
Lynn True,montaż,brak,1
László Tolcsvay scenografia Tamás Banovich,muzyka,brak,1
Léo Chermont,muzyka,brak,1
Léo Richard,montaż,brak,1
Mabeye Deme,zdjęcia,brak,1
Maciej Sobieszczański,scenariusz,brak,1
Madalena Palmeirim charakteryzacja Sara Pereira,muzyka,chyba K (imię na -a),1
Madeleine Gug,montaż,brak,1
Mahamat-Saleh Haroun,scenariusz,brak,1
Mahmoud Kalari,zdjęcia,brak,1
Maike Heinlein,muzyka,brak,1
Malika Zouhali-Worrall,montaż,chyba K (imię na -a),1
Manel Almiñana,montaż,brak,1
Manesh Madhavan,zdjęcia,brak,1
Mangalath Praveen kostiumy Leena Thushara scenografia Dileep Daz,montaż,brak,1
Marilena Orfanou kostiumy Vassilia Rozana scenografia Elena Vardava charakteryzacja Alexandra Myta,muzyka,chyba K (imię na -a),1
Marisa Menta,montaż,chyba K (imię na -a),1
Marton Radics,muzyka,brak,1
Marvin Miller kostiumy Christian Röhrs scenografia Zazie Knepper charakteryzacja Nica Faas,muzyka,brak,1
Masato Suzuki,muzyka,brak,1
Matheus da Rocha Pereira,zdjęcia,brak,1
Mathias Bouffier,scenariusz,brak,1
Mathias Bouffier,montaż,brak,1
Mathxiemop Atnyop,scenariusz,brak,1
Matt Henley,zdjęcia,brak,1
Matyas Fekete,montaż,brak,1
Maureen Verspille,scenariusz,brak,1
Maurice Ravel,muzyka,brak,1
Mauricio Reyes,zdjęcia,brak,1
Mauricio Zacharias,scenariusz,brak,1
Mauro Herce,zdjęcia,brak,1
Max Lemon,montaż,brak,1
Max Ophüls,scenariusz,brak,1
Max Reichmann kostiumy Renate Wangenheim,scenariusz,brak,1
Max Rieger kostiumy Belle Santos scenografia Lena Müller,muzyka,brak,1
Maxwell Sterling kostiumy Darion Hing scenografia Luke Moran-Morris,muzyka,brak,1
Med Hondo,scenariusz,brak,1
Micaela Pimentel,muzyka,chyba K (imię na -a),1
Michał Czarnecki,montaż,brak,1
Michał Leszczyłowski,montaż,brak,1
Michał Oleszczyk,scenariusz,brak,1
Michał Pukowiec,zdjęcia,brak,1
Midnight Oil,muzyka,brak,1
Mieczysław Jahoda,zdjęcia,brak,1
Mikhail Khursevich,zdjęcia,brak,1
Mikhaila Alyssa Smith,muzyka,chyba K (imię na -a),1
Miklós Orszáczky,muzyka,brak,1
Mikołaj Stroiński,muzyka,brak,1
Miles Goodman kostiumy Marit Allen scenografia Roy Walker charakteryzacja Paul Engelen,muzyka,brak,1
Miles Ross,muzyka,brak,1
Ming Xue,zdjęcia,brak,1
Minh Quý Truong,scenariusz,brak,1
Minh Quý Truong,montaż,brak,1
Minka Jakerson,zdjęcia,chyba K (imię na -a),1
Mircea Olteanu,montaż,chyba K (imię na -a),1
Miroslav Hájek,montaż,brak,1
Mohanad Yaqubi,scenariusz,brak,1
Murilo Salles,scenariusz,brak,1
Myriam Guyenard,zdjęcia,brak,1
Myrthe Mosterman,zdjęcia,brak,1
Nakhane,muzyka,brak,1
Nantu Studio,muzyka,brak,1
Natia Sartania kostiumy Tinatin Kvinikadze scenografia Salome Skhirtladze charakteryzacja Salome Zakaraia,muzyka,chyba K (imię na -a),1
Natie Cortez,muzyka,brak,1
Negin Khazaee,zdjęcia,brak,1
Nick Athens,muzyka,brak,1
Nick Fenton,montaż,brak,1
Nick Morris,zdjęcia,brak,1
Nico Aguilar,zdjęcia,brak,1
Nico Leunen,montaż,brak,1
Nico Leunen kostiumy Kirsty Halliday scenografia Nathan Parker charakteryzacja Anita Brolly,montaż,brak,1
Nils Croné,zdjęcia,brak,1
Ninon Liotet,montaż,brak,1
Nishant Ramteke,muzyka,brak,1
Nodar Nozadze,montaż,brak,1
Nodar Nozadze,muzyka,brak,1
Noé Bach,zdjęcia,brak,1
Nurith Aviv,zdjęcia,brak,1
Ollie Downey,zdjęcia,brak,1
Oniria,muzyka,chyba K (imię na -a),1
Orelha Negra,muzyka,chyba K (imię na -a),1
Paco Rodríguez H.,muzyka,brak,1
Patryk Roman,zdjęcia,brak,1
Pau Esteve Birba,zdjęcia,brak,1
Paulo Carneiro,scenariusz,brak,1
Paulo Flores,muzyka,brak,1
Paulo Gatabase,scenariusz,brak,1
Paulo Menezes,zdjęcia,brak,1
Paweł Demirski,scenariusz,brak,1
Paweł Flis,zdjęcia,brak,1
Paweł Juzwuk,muzyka,brak,1
Paweł Maślona,scenariusz,brak,1
Peer Raben,muzyka,brak,1
Peer Raben kostiumy Tabea Blumenschein scenografia Detlef Pleschke charakteryzacja Detlef Pleschke,muzyka,brak,1
Pia Dumont kostiumy Katharina Forcher,montaż,brak,1
Piasek & Wójcik,montaż,brak,1
Pietari Peltola,zdjęcia,brak,1
Przemek Chruścielewski,montaż,brak,1
Przemysław Chruścielewski,montaż,brak,1
Przemysław Chruścielewski,montaż,brak,1
Pôl Seif,scenariusz,brak,1
Pôl Seif,zdjęcia,brak,1
Qutaiba Barhamji,montaż,chyba K (imię na -a),1
Radu Jude,scenariusz,brak,1
Rafał Listopad,montaż,brak,1
Rafał Skarżycki,scenariusz,brak,1
Rakan Mayasi,scenariusz,brak,1
Rami Agami,zdjęcia,brak,1
Rami El Nihawi,montaż,brak,1
Rami Nihawi,scenariusz,brak,1
Raynor Winn,scenariusz,brak,1
Rein Kotov,zdjęcia,brak,1
Reynaldo Hahn,muzyka,brak,1
Reza Memari,scenariusz,chyba K (imię na -a),1
Rhayne Vermette scenografia Janelle Tougas,muzyka,brak,1
Rick King,scenariusz,brak,1
Rui Poças,zdjęcia,brak,1
Ryûsuke Hamaguchi,scenariusz,brak,1
Sacha Galperine,muzyka,chyba K (imię na -a),1
Saeed Farhadi,scenariusz,brak,1
Salar Ardestani,zdjęcia,brak,1
Saleh Kashefi,zdjęcia,brak,1
Saleh Kashefi,montaż,brak,1
Sam Bauer,montaż,brak,1
Sandor Mester,muzyka,brak,1
Sayombhu Mukdeeprom,zdjęcia,brak,1
Selma Lagerlöf,scenariusz,chyba K (imię na -a),1
Serafin Spitzer,zdjęcia,brak,1
Shaandiin Tome,zdjęcia,brak,1
Shadmehr Rastin,scenariusz,brak,1
Sheila Thomas,muzyka,chyba K (imię na -a),1
Shô Miyake,scenariusz,brak,1
Siegfried Aé,muzyka,brak,1
Simon Fisher-Turner kostiumy Annie Symons scenografia Derek Brown,muzyka,brak,1
Simon Köcher,zdjęcia,brak,1
Simon Tindall,zdjęcia,brak,1
Sky Hopinka,scenariusz,brak,1
Sky Hopinka,montaż,brak,1
Sohn Koo-Yong,scenariusz,brak,1
Sohn Koo-Yong,zdjęcia,brak,1
Sohn Koo-Yong,montaż,brak,1
Space Dukes,muzyka,brak,1
Stanisław Czycz,scenariusz,brak,1
Stanisław Dygat,scenariusz,brak,1
Stanley Cortez,zdjęcia,brak,1
Stanley Myers,muzyka,brak,1
Stavros Evangelou,muzyka,brak,1
Stavros Mitropoulos,muzyka,brak,1
Sten Sheripov kostiumy Simon Matchabeli scenografia Simon Matchabeli charakteryzacja Madonna Chanturia,muzyka,brak,1
Stephan Bechinger,montaż,brak,1
Steve Binetti,muzyka,brak,1
Steve Willaert,muzyka,brak,1
Stillz,scenariusz,brak,1
Stillz,zdjęcia,brak,1
Szabolcs Szõke,muzyka,brak,1
Taki Yasuda,montaż,brak,1
Talal Khoury,zdjęcia,brak,1
Talena Sanders,zdjęcia,chyba K (imię na -a),1
Tamar-kali,muzyka,brak,1
Tamás Somló,zdjęcia,brak,1
Tao Gu,montaż,brak,1
Tara Nome Doyle kostiumy Doris Bartelt scenografia Olivier Meidinger charakteryzacja Anette Keiser,muzyka,chyba K (imię na -a),1
Ted Regklis,muzyka,brak,1
Telmo Churro,montaż,brak,1
Tham Kattiyakul,montaż,brak,1
Theophile Gay-Mazas,montaż,brak,1
Timm Kröger,muzyka,brak,1
Tom Furniss,scenariusz,brak,1
Tom Harari,zdjęcia,brak,1
Tony Pierce-Roberts,zdjęcia,brak,1
Toty Sa’med,muzyka,brak,1
Trevor Jones,muzyka,brak,1
Troy Kingi,muzyka,brak,1
Tsai Ming-liang,scenariusz,brak,1
Tsai Ming-liang,zdjęcia,brak,1
Tudor D. Popescu,montaż,brak,1
Tudor Vladimir Panduru,zdjęcia,brak,1
Tymoteusz Papior,muzyka,brak,1
Tyson Perkins,zdjęcia,brak,1
Valentin Hadjadj kostiumy Isabel Van Renterghem scenografia Eve Martin,muzyka,brak,1
Valentyn Vasyanovych,scenariusz,brak,1
Valentyn Vasyanovych,zdjęcia,brak,1
Valentyn Vasyanovych,montaż,brak,1
Vanesa Garnica,scenariusz,chyba K (imię na -a),1
Vanna Paoli,scenariusz,chyba K (imię na -a),1
Vasilis Chontos,muzyka,brak,1
Viktor Csaba Németh,zdjęcia,brak,1
Violeta García,muzyka,chyba K (imię na -a),1
Visar Morina,scenariusz,brak,1
Vytautas Katkus,scenariusz,brak,1
W. Peter Iliff,scenariusz,brak,1
Wahid Ajmi,scenariusz,brak,1
Wilhelm D. Siebert,muzyka,brak,1
Wilhelm Dieter Siebert kostiumy Gisela Storch scenografia Ulrike Ottinger charakteryzacja Berthold Sack,muzyka,brak,1
Witold Lutosławski scenografia Charles-Antoine Turcot,muzyka,brak,1
Woon Lam Tong,zdjęcia,brak,1
Wregas Bhanuteja,scenariusz,brak,1
Xenia Patricia,zdjęcia,chyba K (imię na -a),1
Xiao Xiao,zdjęcia,brak,1
Yasuyuki Sasaki,zdjęcia,brak,1
Yau Cheong Leung,zdjęcia,brak,1
Yennu Ariendra kostiumy Fadillah Putri Yunidar charakteryzacja Jerry Octavianus,muzyka,brak,1
Yibrán Asuad,montaż,brak,1
Yonkey,muzyka,brak,1
Yorgos Lamprinos,montaż,brak,1
