tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
Gatunek wybuchowy,2026,Nocne Szaleństwo,?,?,M,K,?,,?,,?,?,Alexis Manenti,M
Gorgona,2025,Nocne Szaleństwo,K,K,M,?,?,,?,?,?,?,Melissanthi Mahut,
Leviticus,2026,Nocne Szaleństwo,M,M,M,M,M,,K,?,?,?,Joe Bird,
Lewitując,2026,Nocne Szaleństwo,M,?,M,M,?,,KM,?,,?,Angga Yunanda,
Niech żyją nam,2026,Nocne Szaleństwo,K,K,M,M,?,?,?,?,?,,Hafsia Herzi,K
Proste koło,2025,Nocne Szaleństwo,?,?,?,?,?,,?,?,?,,Luke Tittensor,M
Sacharyna,2026,Nocne Szaleństwo,K,K,M,M,K,,K,?,?,?,Midori Francis,
Twierdza cnoty,1973,Nocne Szaleństwo,M,M,M,?,M,,K,M,K,?,Claudio Brook,M
Victorian Psycho,2026,Nocne Szaleństwo,M,K,M,?,?,,?,?,M,,Maika Monroe,K
Carcasse,2017,Lost Lost Lost,?,?,?,?,,?,?,,,,,
"Jeśli się przewrócę, nie podnoś mnie",2024,Lost Lost Lost,?,?,?,?,?,?,?,,,,Walter D. Asmus,
Natura,2023,Lost Lost Lost,M,M,M,M,?,?,M,,M,,Asko Lintunen,
Noc się dłuży,2023,Lost Lost Lost,?,?,?,M,,?,?,,,,Anna Cohen-Yanay,
Nocny spacer,2023,Lost Lost Lost,?,?,?,?,,?,?,,,,,
Otwarte niebo,2023,Lost Lost Lost,M,M,?,?,?,?,?,,?,,Dionicio Huaraccallo Idme,
Smuga cieni,1997,Lost Lost Lost,M,M,M,?,M,,M,?,K,,Juliette Gautier,
Zatoka,2021,Lost Lost Lost,M,?,?,?,?,?,M,,,,Evando Herminio da Silva,
7 spacerów z Markiem Brownem,2024,Garden Party,M,M,?,M,,,?,,,,Mark Brown,M
Central Park,1990,Garden Party,M,M,M,M,?,,M,,,,LeVar Burton,M
Cud kwiatów,1926,Garden Party,M,M,,,,,,?,,,Elisabeth Grube,K
Dzikie rośliny,2016,Garden Party,M,M,K,K,M,,K,,,,,
Filipiñana,2026,Garden Party,M,M,K,M,,M,?,?,?,,Jorrybell Agoto,
Komety,2019,Garden Party,K,K,?,?,?,,?,?,?,?,Nino Kasradze,
Koszmarne podszepty,2026,Garden Party,?,?,?,?,M,,?,,?,,Marie Eve Loyez,
Krwiożercza roślina (wersja reżyserska),1986,Garden Party,M,M,M,?,M,,M,?,?,?,Levi Stubbs,M
Linie pożądania,2025,Garden Party,M,KM,KM,M,,?,KM,?,,?,Ivan Čuić,
Ogród,1990,Garden Party,M,M,?,M,M,,?,?,?,?,Tilda Swinton,K
